"","Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
"11",35,"No","Travel Rarely",809,"R&D",16,3,"Medical Sciences",1,"Male",84,4,1,"Laboratory Technician",2,"Married",2426,16479,0,"No",13,3,3,1,6,5,3,5,4,0,3
"12",29,"No","Travel Rarely",153,"R&D",15,3,"Life Sciences",4,"Female",49,2,2,"Laboratory Technician",3,"Single",4193,12682,0,"Yes",12,3,4,0,10,3,3,9,5,0,8
"13",31,"No","Travel Rarely",670,"R&D",26,1,"Life Sciences",1,"Male",31,3,1,"Research Scientist",3,"Divorced",2911,15170,1,"No",17,3,4,1,5,1,2,5,2,4,3
"14",34,"No","Travel Rarely",1346,"R&D",19,2,"Medical Sciences",2,"Male",93,3,1,"Laboratory Technician",4,"Divorced",2661,8758,0,"No",11,3,3,1,3,2,3,2,2,1,2
"15",28,"Yes","Travel Rarely",103,"R&D",24,3,"Life Sciences",3,"Male",50,2,1,"Laboratory Technician",3,"Single",2028,12947,5,"Yes",18,3,2,0,6,4,3,4,2,0,3
"16",29,"No","Travel Rarely",1389,"R&D",21,4,"Life Sciences",2,"Female",51,4,3,"Manufacturing Director",1,"Divorced",9980,10195,1,"No",11,3,3,1,10,1,3,10,9,8,8
"17",32,"No","Travel Rarely",334,"R&D",5,2,"Life Sciences",1,"Male",80,4,1,"Research Scientist",2,"Divorced",3298,15053,0,"Yes",12,3,4,2,7,5,2,6,2,0,5
"18",22,"No","Non Travel",1123,"R&D",16,2,"Medical Sciences",4,"Male",96,4,1,"Laboratory Technician",4,"Divorced",2935,7324,1,"Yes",13,3,2,2,1,2,2,1,0,0,0
"19",53,"No","Travel Rarely",1219,"Sales",2,4,"Life Sciences",1,"Female",78,2,4,"Manager",4,"Married",15427,22021,2,"No",16,3,3,0,31,3,3,25,8,3,7
"20",38,"No","Travel Rarely",371,"R&D",2,3,"Life Sciences",4,"Male",45,3,1,"Research Scientist",4,"Single",3944,4306,5,"Yes",11,3,3,0,6,3,3,3,2,1,2
"21",24,"No","Non Travel",673,"R&D",11,2,"Other",1,"Female",96,4,2,"Manufacturing Director",3,"Divorced",4011,8232,0,"No",18,3,4,1,5,5,2,4,2,1,3
"22",36,"Yes","Travel Rarely",1218,"Sales",9,4,"Life Sciences",3,"Male",82,2,1,"Sales Representative",1,"Single",3407,6986,7,"No",23,4,2,0,10,4,3,5,3,0,3
"23",34,"No","Travel Rarely",419,"R&D",7,4,"Life Sciences",1,"Female",53,3,3,"Research Director",2,"Single",11994,21293,0,"No",11,3,3,0,10,4,3,12,6,2,11
"24",21,"No","Travel Rarely",391,"R&D",15,2,"Life Sciences",3,"Male",96,3,1,"Research Scientist",4,"Single",1232,19281,1,"No",14,3,4,0,0,6,3,0,0,0,0
"25",34,"Yes","Travel Rarely",699,"R&D",16,1,"Medical Sciences",2,"Male",83,3,1,"Research Scientist",1,"Single",2960,17102,2,"No",11,3,3,0,8,2,3,4,2,1,3
"26",53,"No","Travel Rarely",1282,"R&D",5,3,"Other",3,"Female",58,3,5,"Manager",3,"Divorced",19094,10735,4,"No",11,3,4,1,26,3,2,14,13,4,8
"27",32,"Yes","Travel Frequently",318,"R&D",16,1,"Life Sciences",2,"Female",72,1,1,"Research Scientist",1,"Single",3919,4681,1,"Yes",22,4,2,0,10,5,3,10,2,6,7
"28",42,"No","Travel Rarely",691,"Sales",8,4,"Marketing",3,"Male",48,3,2,"Sales Executive",2,"Married",6825,21173,0,"No",11,3,4,1,10,2,3,9,7,4,2
"29",44,"No","Travel Rarely",477,"R&D",7,4,"Medical Sciences",1,"Female",42,2,3,"Healthcare Representative",4,"Married",10248,2094,3,"No",14,3,4,1,24,4,3,22,6,5,17
"30",46,"No","Travel Rarely",705,"Sales",2,4,"Marketing",2,"Female",83,3,5,"Manager",1,"Single",18947,17312,3,"No",12,3,4,0,22,2,2,2,2,2,1
"31",33,"No","Travel Rarely",924,"R&D",2,3,"Medical Sciences",3,"Male",78,3,1,"Laboratory Technician",4,"Single",3894,6670,4,"No",11,3,4,0,7,3,3,1,0,0,0
"32",44,"No","Travel Rarely",1459,"R&D",10,4,"Other",4,"Male",41,3,2,"Healthcare Representative",4,"Married",6465,19121,2,"Yes",13,3,4,0,9,5,4,4,2,1,3
"33",30,"No","Travel Rarely",125,"R&D",9,2,"Medical Sciences",4,"Male",83,2,1,"Research Scientist",3,"Single",14411,16117,1,"No",13,3,1,0,10,5,3,10,0,1,8
"34",39,"Yes","Travel Rarely",895,"Sales",5,3,"Technical",4,"Male",56,3,2,"Sales Representative",4,"Married",2086,3335,3,"No",14,3,3,1,19,6,4,1,0,0,0
"35",24,"Yes","Travel Rarely",813,"R&D",1,3,"Medical Sciences",2,"Male",61,3,1,"Research Scientist",4,"Married",2293,3020,2,"Yes",16,3,4,1,6,2,2,2,0,2,0
"36",43,"No","Travel Rarely",1273,"R&D",2,2,"Medical Sciences",4,"Female",72,4,1,"Research Scientist",3,"Divorced",4477,21923,1,"No",12,3,4,2,6,3,2,5,3,1,4
"37",50,"Yes","Travel Rarely",869,"Sales",3,2,"Marketing",1,"Male",86,2,1,"Sales Representative",3,"Married",2683,3810,1,"Yes",14,3,3,0,3,2,3,3,2,0,2
"38",35,"No","Travel Rarely",890,"Sales",2,3,"Marketing",4,"Female",97,3,1,"Sales Representative",4,"Married",2014,9687,1,"No",13,3,1,0,2,3,3,2,2,2,2
"39",36,"No","Travel Rarely",852,"R&D",5,4,"Life Sciences",2,"Female",82,2,1,"Research Scientist",1,"Married",3419,13072,9,"Yes",14,3,4,1,6,3,4,1,1,0,0
"40",33,"No","Travel Frequently",1141,"Sales",1,3,"Life Sciences",3,"Female",42,4,2,"Sales Executive",1,"Married",5376,3193,2,"No",19,3,1,2,10,3,3,5,3,1,3
"41",35,"No","Travel Rarely",464,"R&D",4,2,"Other",3,"Male",75,3,1,"Laboratory Technician",4,"Divorced",1951,10910,1,"No",12,3,3,1,1,3,3,1,0,0,0
"43",26,"Yes","Travel Rarely",1357,"R&D",25,3,"Life Sciences",1,"Male",48,1,1,"Laboratory Technician",3,"Single",2293,10558,1,"No",12,3,3,0,1,2,2,1,0,0,1
"44",27,"No","Travel Frequently",994,"Sales",8,3,"Life Sciences",4,"Male",37,3,3,"Sales Executive",3,"Single",8726,2975,1,"No",15,3,4,0,9,0,3,9,8,1,7
"45",30,"No","Travel Frequently",721,"R&D",1,2,"Medical Sciences",3,"Female",58,3,2,"Laboratory Technician",4,"Single",4011,10781,1,"No",23,4,4,0,12,2,3,12,8,3,7
"46",41,"Yes","Travel Rarely",1360,"R&D",12,3,"Technical",2,"Female",49,3,5,"Research Director",3,"Married",19545,16280,1,"No",12,3,4,0,23,0,3,22,15,15,8
"47",34,"No","Non Travel",1065,"Sales",23,4,"Marketing",2,"Male",72,3,2,"Sales Executive",3,"Single",4568,10034,0,"No",20,4,3,0,10,2,3,9,5,8,7
"48",37,"No","Travel Rarely",408,"R&D",19,2,"Life Sciences",2,"Male",73,3,1,"Research Scientist",2,"Married",3022,10227,4,"No",21,4,1,0,8,1,3,1,0,0,0
"49",46,"No","Travel Frequently",1211,"Sales",5,4,"Marketing",1,"Male",98,3,2,"Sales Executive",4,"Single",5772,20445,4,"Yes",21,4,3,0,14,4,3,9,6,0,8
"50",35,"No","Travel Rarely",1229,"R&D",8,1,"Life Sciences",4,"Male",36,4,1,"Laboratory Technician",4,"Married",2269,4892,1,"No",19,3,4,0,1,2,3,1,0,0,1
"51",48,"Yes","Travel Rarely",626,"R&D",1,2,"Life Sciences",1,"Male",98,2,3,"Laboratory Technician",3,"Single",5381,19294,2,"Yes",13,3,4,0,23,2,1,1,0,0,0
"52",28,"Yes","Travel Rarely",1434,"R&D",5,4,"Technical",3,"Male",50,3,1,"Laboratory Technician",3,"Single",3441,11179,1,"Yes",13,3,3,0,2,3,2,2,2,2,2
"53",44,"No","Travel Rarely",1488,"Sales",1,5,"Marketing",2,"Female",75,3,2,"Sales Executive",1,"Divorced",5454,4009,5,"Yes",21,4,3,1,9,2,2,4,3,1,3
"54",35,"No","Non Travel",1097,"R&D",11,2,"Medical Sciences",3,"Male",79,2,3,"Healthcare Representative",1,"Married",9884,8302,2,"Yes",13,3,3,1,10,3,3,4,0,2,3
"55",26,"No","Travel Rarely",1443,"Sales",23,3,"Marketing",3,"Female",47,2,2,"Sales Executive",4,"Married",4157,21436,7,"Yes",19,3,3,1,5,2,2,2,2,0,0
"56",33,"No","Travel Frequently",515,"R&D",1,2,"Life Sciences",1,"Female",98,3,3,"Research Director",4,"Single",13458,15146,1,"Yes",12,3,3,0,15,1,3,15,14,8,12
"57",35,"No","Travel Frequently",853,"Sales",18,5,"Life Sciences",2,"Male",71,3,3,"Sales Executive",1,"Married",9069,11031,1,"No",22,4,4,1,9,3,2,9,8,1,8
"58",35,"No","Travel Rarely",1142,"R&D",23,4,"Medical Sciences",3,"Female",30,3,1,"Laboratory Technician",1,"Married",4014,16002,3,"Yes",15,3,3,1,4,3,3,2,2,2,2
"59",31,"No","Travel Rarely",655,"R&D",7,4,"Life Sciences",4,"Male",48,3,2,"Laboratory Technician",4,"Divorced",5915,9528,3,"No",22,4,4,1,10,3,2,7,7,1,7
"60",37,"No","Travel Rarely",1115,"R&D",1,4,"Life Sciences",1,"Male",51,2,2,"Manufacturing Director",3,"Divorced",5993,2689,1,"No",18,3,4,1,7,2,4,7,5,0,7
"61",32,"No","Travel Rarely",427,"R&D",1,3,"Medical Sciences",1,"Male",33,3,2,"Manufacturing Director",4,"Married",6162,10877,1,"Yes",22,4,2,1,9,3,3,9,8,7,8
"62",38,"No","Travel Frequently",653,"R&D",29,5,"Life Sciences",4,"Female",50,3,2,"Laboratory Technician",4,"Single",2406,5456,1,"No",11,3,4,0,10,2,3,10,3,9,9
"63",50,"No","Travel Rarely",989,"R&D",7,2,"Medical Sciences",2,"Female",43,2,5,"Research Director",3,"Divorced",18740,16701,5,"No",12,3,4,1,29,2,2,27,3,13,8
"64",59,"No","Travel Rarely",1435,"Sales",25,3,"Life Sciences",1,"Female",99,3,3,"Sales Executive",1,"Single",7637,2354,7,"No",11,3,4,0,28,3,2,21,16,7,9
"65",36,"No","Travel Rarely",1223,"R&D",8,3,"Technical",3,"Female",59,3,3,"Healthcare Representative",3,"Divorced",10096,8202,1,"No",13,3,2,1,17,2,3,17,14,12,8
"66",55,"No","Travel Rarely",836,"R&D",8,3,"Medical Sciences",4,"Female",33,3,4,"Manager",3,"Divorced",14756,19730,2,"Yes",14,3,3,3,21,2,3,5,0,0,2
"67",36,"No","Travel Frequently",1195,"R&D",11,3,"Life Sciences",2,"Male",95,2,2,"Manufacturing Director",2,"Single",6499,22656,1,"No",13,3,3,0,6,3,3,6,5,0,3
"68",45,"No","Travel Rarely",1339,"R&D",7,3,"Medical Sciences",2,"Male",59,3,3,"Research Scientist",1,"Divorced",9724,18787,2,"No",17,3,3,1,25,2,3,20,0,0,0
"69",35,"No","Travel Frequently",664,"R&D",1,3,"Medical Sciences",2,"Male",79,3,1,"Research Scientist",1,"Married",2194,5868,4,"No",13,3,4,1,5,2,2,3,2,1,2
"70",36,"Yes","Travel Rarely",318,"R&D",9,3,"Medical Sciences",4,"Male",79,2,1,"Research Scientist",3,"Married",3388,21777,0,"Yes",17,3,1,1,2,0,2,1,0,0,0
"71",59,"No","Travel Frequently",1225,"Sales",1,1,"Life Sciences",1,"Female",57,2,2,"Sales Executive",3,"Single",5473,24668,7,"No",11,3,4,0,20,2,2,4,3,1,3
"72",29,"No","Travel Rarely",1328,"R&D",2,3,"Life Sciences",3,"Male",76,3,1,"Research Scientist",2,"Married",2703,4956,0,"No",23,4,4,1,6,3,3,5,4,0,4
"73",31,"No","Travel Rarely",1082,"R&D",1,4,"Medical Sciences",3,"Male",87,3,1,"Research Scientist",3,"Single",2501,18775,1,"No",17,3,2,0,1,4,3,1,1,1,0
"74",32,"No","Travel Rarely",548,"R&D",1,3,"Life Sciences",2,"Male",66,3,2,"Research Scientist",2,"Married",6220,7346,1,"No",17,3,2,2,10,3,3,10,4,0,9
"75",36,"No","Travel Rarely",132,"R&D",6,3,"Life Sciences",2,"Female",55,4,1,"Laboratory Technician",4,"Married",3038,22002,3,"No",12,3,2,0,5,3,3,1,0,0,0
"76",31,"No","Travel Rarely",746,"R&D",8,4,"Life Sciences",3,"Female",61,3,2,"Manufacturing Director",4,"Single",4424,20682,1,"No",23,4,4,0,11,2,3,11,7,1,8
"77",35,"No","Travel Rarely",776,"Sales",1,4,"Marketing",3,"Male",32,3,2,"Sales Executive",1,"Single",4312,23016,0,"No",14,3,2,0,16,2,3,15,13,2,8
"78",45,"No","Travel Rarely",193,"R&D",6,4,"Other",4,"Male",52,3,3,"Research Director",1,"Married",13245,15067,4,"Yes",14,3,2,1,17,3,4,0,0,0,0
"79",37,"No","Travel Rarely",397,"R&D",7,4,"Medical Sciences",1,"Male",30,3,3,"Research Director",3,"Single",13664,25258,4,"No",13,3,1,0,16,3,4,5,2,0,2
"80",46,"No","Travel Rarely",945,"HR",5,2,"Medical Sciences",2,"Male",80,3,2,"HR",2,"Divorced",5021,10425,8,"Yes",22,4,4,1,16,2,3,4,2,0,2
"81",30,"No","Travel Rarely",852,"R&D",1,1,"Life Sciences",4,"Male",55,2,2,"Laboratory Technician",4,"Married",5126,15998,1,"Yes",12,3,3,2,10,1,2,10,8,3,0
"82",35,"No","Travel Rarely",1214,"R&D",1,3,"Medical Sciences",2,"Male",30,2,1,"Research Scientist",3,"Single",2859,2725,1,"No",18,3,1,0,6,3,3,6,4,0,4
"83",55,"No","Travel Rarely",111,"Sales",1,2,"Life Sciences",1,"Male",70,3,3,"Sales Executive",4,"Married",10239,18092,3,"No",14,3,4,1,24,4,3,1,0,1,0
"84",38,"No","Non Travel",573,"R&D",6,3,"Medical Sciences",2,"Female",79,1,2,"Research Scientist",4,"Divorced",5329,15717,7,"Yes",12,3,4,3,17,3,3,13,11,1,9
"85",34,"No","Travel Rarely",1153,"R&D",1,2,"Medical Sciences",1,"Male",94,3,2,"Manufacturing Director",2,"Married",4325,17736,1,"No",15,3,3,0,5,2,3,5,2,1,3
"86",56,"No","Travel Rarely",1225,"R&D",7,3,"Life Sciences",4,"Male",49,1,3,"Manufacturing Director",4,"Single",7260,21698,4,"No",11,3,1,0,37,3,2,6,4,0,2
"87",23,"No","Travel Rarely",541,"Sales",2,1,"Technical",3,"Male",62,3,1,"Sales Representative",1,"Divorced",2322,9518,3,"No",13,3,3,1,3,3,3,0,0,0,0
"88",34,"No","Travel Rarely",432,"R&D",9,4,"Life Sciences",4,"Male",96,3,1,"Laboratory Technician",4,"Married",2075,18725,3,"No",23,4,2,2,10,4,3,4,2,0,3
"89",30,"No","Travel Rarely",288,"R&D",2,3,"Life Sciences",3,"Male",99,2,2,"Healthcare Representative",4,"Married",4152,15830,1,"No",19,3,1,3,11,3,3,11,10,10,8
"91",40,"No","Travel Frequently",530,"R&D",1,4,"Life Sciences",4,"Male",78,2,4,"Healthcare Representative",2,"Married",13503,14115,1,"No",22,4,4,1,22,3,2,22,3,11,11
"92",51,"No","Travel Rarely",632,"Sales",21,4,"Marketing",3,"Male",71,3,2,"Sales Executive",4,"Single",5441,8423,0,"Yes",22,4,4,0,11,2,1,10,7,1,8
"93",30,"No","Travel Rarely",1334,"Sales",4,4,"Medical Sciences",3,"Female",63,2,2,"Sales Executive",2,"Divorced",5209,19760,1,"Yes",12,3,2,3,11,4,2,11,8,2,7
"94",46,"No","Travel Frequently",638,"R&D",1,3,"Medical Sciences",3,"Male",40,2,3,"Healthcare Representative",1,"Married",10673,3142,2,"Yes",13,3,3,1,21,5,2,10,9,9,5
"95",32,"No","Travel Rarely",1093,"Sales",6,4,"Medical Sciences",2,"Male",87,3,2,"Sales Executive",3,"Single",5010,24301,1,"No",16,3,1,0,12,0,3,11,8,5,7
"96",54,"No","Travel Rarely",1217,"R&D",2,4,"Technical",1,"Female",60,3,3,"Research Director",3,"Married",13549,24001,9,"No",12,3,1,1,16,5,1,4,3,0,3
"97",24,"No","Travel Rarely",1353,"Sales",3,2,"Other",1,"Female",33,3,2,"Sales Executive",3,"Married",4999,17519,0,"No",21,4,1,1,4,2,2,3,2,0,2
"98",28,"No","Non Travel",120,"Sales",4,3,"Medical Sciences",2,"Male",43,3,2,"Sales Executive",3,"Married",4221,8863,1,"No",15,3,2,0,5,3,4,5,4,0,4
"99",58,"No","Travel Rarely",682,"Sales",10,4,"Medical Sciences",4,"Male",37,3,4,"Sales Executive",3,"Single",13872,24409,0,"No",13,3,3,0,38,1,2,37,10,1,8
"100",44,"No","Non Travel",489,"R&D",23,3,"Medical Sciences",2,"Male",67,3,2,"Laboratory Technician",2,"Married",2042,25043,4,"No",12,3,3,1,17,3,4,3,2,1,2
"101",37,"Yes","Travel Rarely",807,"HR",6,4,"HR",3,"Male",63,3,1,"HR",1,"Divorced",2073,23648,4,"Yes",22,4,4,0,7,3,3,3,2,0,2
"102",32,"No","Travel Rarely",827,"R&D",1,1,"Life Sciences",4,"Male",71,3,1,"Research Scientist",1,"Single",2956,15178,1,"No",13,3,4,0,1,2,3,1,0,0,0
"103",20,"Yes","Travel Frequently",871,"R&D",6,3,"Life Sciences",4,"Female",66,2,1,"Laboratory Technician",4,"Single",2926,19783,1,"Yes",13,3,2,0,1,5,3,1,0,1,0
"104",34,"No","Travel Rarely",665,"R&D",6,4,"Other",1,"Female",41,3,2,"Research Scientist",3,"Single",4809,12482,1,"No",14,3,3,0,16,3,3,16,13,2,10
"105",37,"No","Non Travel",1040,"R&D",2,2,"Life Sciences",3,"Male",100,2,2,"Healthcare Representative",4,"Divorced",5163,15850,5,"No",11,3,4,1,17,2,4,1,0,0,0
"106",59,"No","Non Travel",1420,"HR",2,4,"HR",3,"Female",32,2,5,"Manager",4,"Married",18844,21922,9,"No",21,4,4,1,30,3,3,3,2,2,2
"107",50,"No","Travel Frequently",1115,"R&D",1,3,"Life Sciences",1,"Female",73,3,5,"Research Director",2,"Married",18172,9755,3,"Yes",19,3,1,0,28,1,2,8,3,0,7
"108",25,"Yes","Travel Rarely",240,"Sales",5,3,"Marketing",3,"Male",46,2,2,"Sales Executive",3,"Single",5744,26959,1,"Yes",11,3,4,0,6,1,3,6,4,0,3
"109",25,"No","Travel Rarely",1280,"R&D",7,1,"Medical Sciences",4,"Male",64,2,1,"Research Scientist",4,"Married",2889,26897,1,"No",11,3,3,2,2,2,3,2,2,2,1
"110",22,"No","Travel Rarely",534,"R&D",15,3,"Medical Sciences",2,"Female",59,3,1,"Laboratory Technician",4,"Single",2871,23785,1,"No",15,3,3,0,1,5,3,0,0,0,0
"111",51,"No","Travel Frequently",1456,"R&D",1,4,"Medical Sciences",1,"Female",30,2,3,"Healthcare Representative",1,"Single",7484,25796,3,"No",20,4,3,0,23,1,2,13,12,12,8
"112",34,"Yes","Travel Frequently",658,"R&D",7,3,"Life Sciences",1,"Male",66,1,2,"Laboratory Technician",3,"Single",6074,22887,1,"Yes",24,4,4,0,9,3,3,9,7,0,6
"113",54,"No","Non Travel",142,"HR",26,3,"HR",4,"Female",30,4,4,"Manager",4,"Single",17328,13871,2,"Yes",12,3,3,0,23,3,3,5,3,4,4
"114",24,"No","Travel Rarely",1127,"R&D",18,1,"Life Sciences",2,"Male",52,3,1,"Laboratory Technician",3,"Married",2774,13257,0,"No",12,3,3,1,6,2,3,5,3,1,2
"115",34,"No","Travel Rarely",1031,"R&D",6,4,"Life Sciences",3,"Male",45,2,2,"Research Scientist",2,"Divorced",4505,15000,6,"No",15,3,3,1,12,3,3,1,0,0,0
"116",37,"No","Travel Rarely",1189,"Sales",3,3,"Life Sciences",3,"Male",87,3,3,"Sales Executive",4,"Single",7428,14506,2,"No",12,3,1,0,12,3,3,5,3,1,3
"117",34,"No","Travel Rarely",1354,"R&D",5,3,"Medical Sciences",3,"Female",45,2,3,"Manager",1,"Single",11631,5615,2,"No",12,3,4,0,14,6,3,11,10,5,8
"118",28,"No","Travel Frequently",1467,"Sales",11,2,"Technical",2,"Female",92,3,3,"Sales Executive",4,"Married",9738,22952,0,"No",14,3,3,1,10,6,3,9,7,2,8
"119",36,"No","Travel Rarely",922,"R&D",3,2,"Life Sciences",1,"Female",39,3,1,"Laboratory Technician",4,"Divorced",2835,2561,5,"No",22,4,1,1,7,2,3,1,0,0,0
"120",43,"No","Travel Frequently",394,"Sales",26,2,"Life Sciences",3,"Male",92,3,4,"Research Director",4,"Married",16959,19494,1,"Yes",12,3,4,2,25,3,4,25,12,4,12
"121",30,"No","Travel Frequently",1312,"R&D",23,3,"Life Sciences",1,"Male",96,1,1,"Research Scientist",3,"Divorced",2613,22310,1,"No",21,4,3,3,10,2,2,10,7,0,9
"122",33,"No","Non Travel",750,"Sales",22,2,"Marketing",3,"Male",95,3,2,"Sales Executive",2,"Married",6146,15480,0,"No",13,3,1,1,7,2,4,7,7,0,7
"123",56,"Yes","Travel Rarely",441,"R&D",14,4,"Life Sciences",2,"Female",72,3,1,"Research Scientist",2,"Married",4963,4510,9,"Yes",18,3,1,3,7,2,3,5,4,4,3
"124",51,"No","Travel Rarely",684,"R&D",6,3,"Life Sciences",1,"Male",51,3,5,"Research Director",3,"Single",19537,6462,7,"No",13,3,3,0,23,5,3,20,18,15,15
"125",31,"Yes","Travel Rarely",249,"Sales",6,4,"Life Sciences",2,"Male",76,1,2,"Sales Executive",3,"Married",6172,20739,4,"Yes",18,3,2,0,12,3,2,7,7,7,7
"126",26,"No","Travel Rarely",841,"R&D",6,3,"Other",3,"Female",63,2,1,"Research Scientist",2,"Married",2368,23300,1,"No",19,3,3,0,5,3,2,5,4,4,3
"127",58,"Yes","Travel Rarely",147,"R&D",23,4,"Medical Sciences",4,"Female",94,3,3,"Healthcare Representative",4,"Married",10312,3465,1,"No",12,3,4,1,40,3,2,40,10,15,6
"128",19,"Yes","Travel Rarely",528,"Sales",22,1,"Marketing",4,"Male",50,3,1,"Sales Representative",3,"Single",1675,26820,1,"Yes",19,3,4,0,0,2,2,0,0,0,0
"129",22,"No","Travel Rarely",594,"R&D",2,1,"Technical",3,"Male",100,3,1,"Laboratory Technician",4,"Married",2523,19299,0,"No",14,3,3,1,3,2,3,2,1,2,1
"130",49,"No","Travel Rarely",470,"R&D",20,4,"Medical Sciences",3,"Female",96,3,2,"Manufacturing Director",1,"Married",6755,5549,1,"No",14,3,3,0,16,2,2,15,11,5,11
"131",43,"No","Travel Frequently",957,"R&D",28,3,"Medical Sciences",2,"Female",72,4,1,"Research Scientist",3,"Single",4739,16090,4,"No",12,3,4,0,18,2,3,3,2,1,2
"132",50,"No","Travel Frequently",809,"Sales",12,3,"Marketing",3,"Female",77,3,3,"Sales Executive",4,"Single",9208,6645,4,"No",11,3,4,0,16,3,3,2,2,2,1
"133",31,"Yes","Travel Rarely",542,"Sales",20,3,"Life Sciences",2,"Female",71,1,2,"Sales Executive",3,"Married",4559,24788,3,"Yes",11,3,3,1,4,2,3,2,2,2,2
"134",41,"No","Travel Rarely",802,"Sales",9,1,"Life Sciences",3,"Male",96,3,3,"Sales Executive",3,"Divorced",8189,21196,3,"Yes",13,3,3,1,12,2,3,9,7,0,7
"135",26,"No","Travel Rarely",1355,"HR",25,1,"Life Sciences",3,"Female",61,3,1,"HR",3,"Married",2942,8916,1,"No",23,4,4,1,8,3,3,8,7,5,7
"137",51,"Yes","Travel Frequently",1150,"R&D",8,4,"Life Sciences",1,"Male",53,1,2,"Manufacturing Director",4,"Single",10650,25150,2,"No",15,3,4,0,18,2,3,4,2,0,3
"138",39,"No","Travel Rarely",1329,"Sales",4,4,"Life Sciences",4,"Female",47,2,2,"Sales Executive",3,"Married",5902,14590,4,"No",14,3,3,1,17,1,4,15,11,5,9
"139",25,"No","Travel Rarely",959,"Sales",28,3,"Life Sciences",1,"Male",41,2,2,"Sales Executive",3,"Married",8639,24835,2,"No",18,3,4,0,6,3,3,2,2,2,2
"140",30,"No","Travel Rarely",1240,"HR",9,3,"HR",3,"Male",48,3,2,"HR",4,"Married",6347,13982,0,"Yes",19,3,4,0,12,2,1,11,9,4,7
"141",32,"Yes","Travel Rarely",1033,"R&D",9,3,"Medical Sciences",1,"Female",41,3,1,"Laboratory Technician",1,"Single",4200,10224,7,"No",22,4,1,0,10,2,4,5,4,0,4
"142",45,"No","Travel Rarely",1316,"R&D",29,3,"Medical Sciences",3,"Male",83,3,1,"Research Scientist",4,"Single",3452,9752,5,"No",13,3,2,0,9,2,2,6,5,0,3
"144",30,"No","Travel Rarely",438,"R&D",18,3,"Life Sciences",1,"Female",75,3,1,"Research Scientist",3,"Single",2632,23910,1,"No",14,3,3,0,5,4,2,5,4,0,4
"145",32,"No","Travel Frequently",689,"Sales",9,2,"Medical Sciences",4,"Male",35,1,2,"Sales Executive",4,"Divorced",4668,22812,0,"No",17,3,4,3,9,2,4,8,7,0,7
